X	Y	LAB E 100
0.0303	0.0303	100.0000
0.0303	0.0909	111.5726
0.0303	0.1515	122.1553
0.0303	0.2121	130.8431
0.0303	0.2727	136.8928
0.0303	0.3333	139.7870
0.0303	0.3939	139.2782
0.0303	0.4545	135.4098
0.0303	0.5152	128.5128
0.0303	0.5758	119.1770
0.0909	0.0303	111.5726
0.0909	0.0909	123.1451
0.0909	0.1515	133.7279
0.0909	0.2121	142.4156
0.0909	0.2727	148.4654
0.0909	0.3333	151.3596
0.0909	0.3939	150.8507
0.0909	0.4545	146.9824
0.0909	0.5152	140.0854
0.0909	0.5758	130.7496
0.1515	0.0303	122.1553
0.1515	0.0909	133.7279
0.1515	0.1515	144.3106
0.1515	0.2121	152.9984
0.1515	0.2727	159.0481
0.1515	0.3333	161.9423
0.1515	0.3939	161.4335
0.1515	0.4545	157.5651
0.1515	0.5152	150.6681
0.1515	0.5758	141.3323
0.2121	0.0303	130.8431
0.2121	0.0909	142.4156
0.2121	0.1515	152.9984
0.2121	0.2121	161.6862
0.2121	0.2727	167.7359
0.2121	0.3333	170.6301
0.2121	0.3939	170.1212
0.2121	0.4545	166.2529
0.2121	0.5152	159.3559
0.2121	0.5758	150.0201
0.2727	0.0303	136.8928
0.2727	0.0909	148.4654
0.2727	0.1515	159.0481
0.2727	0.2121	167.7359
0.2727	0.2727	173.7856
0.2727	0.3333	176.6798
0.2727	0.3939	176.1710
0.2727	0.4545	172.3026
0.2727	0.5152	165.4056
0.2727	0.5758	156.0698
0.3333	0.0303	139.7870
0.3333	0.0909	151.3596
0.3333	0.1515	161.9423
0.3333	0.2121	170.6301
0.3333	0.2727	176.6798
0.3333	0.3333	179.5740
0.3333	0.3939	179.0652
0.3333	0.4545	175.1968
0.3333	0.5152	168.2998
0.3333	0.5758	158.9640
0.3939	0.0303	139.2782
0.3939	0.0909	150.8507
0.3939	0.1515	161.4335
0.3939	0.2121	170.1212
0.3939	0.2727	176.1710
0.3939	0.3333	179.0652
0.3939	0.3939	178.5563
0.3939	0.4545	174.6880
0.3939	0.5152	167.7909
0.3939	0.5758	158.4552
0.4545	0.0303	135.4098
0.4545	0.0909	146.9824
0.4545	0.1515	157.5651
0.4545	0.2121	166.2529
0.4545	0.2727	172.3026
0.4545	0.3333	175.1968
0.4545	0.3939	174.6880
0.4545	0.4545	170.8196
0.4545	0.5152	163.9226
0.4545	0.5758	154.5868
0.5152	0.0303	128.5128
0.5152	0.0909	140.0854
0.5152	0.1515	150.6681
0.5152	0.2121	159.3559
0.5152	0.2727	165.4056
0.5152	0.3333	168.2998
0.5152	0.3939	167.7909
0.5152	0.4545	163.9226
0.5152	0.5152	157.0256
0.5152	0.5758	147.6898
0.5758	0.0303	119.1770
0.5758	0.0909	130.7496
0.5758	0.1515	141.3323
0.5758	0.2121	150.0201
0.5758	0.2727	156.0698
0.5758	0.3333	158.9640
0.5758	0.3939	158.4552
0.5758	0.4545	154.5868
0.5758	0.5152	147.6898
0.5758	0.5758	138.3540
