X	Y	LAB 25
0.0606	0.0606	100.0000
0.0606	0.1818	124.5373
0.0606	0.3030	138.7565
0.0606	0.4242	136.6785
0.0606	0.5455	119.1770
0.1818	0.0606	124.5373
0.1818	0.1818	149.0745
0.1818	0.3030	163.2938
0.1818	0.4242	161.2157
0.1818	0.5455	143.7143
0.3030	0.0606	138.7565
0.3030	0.1818	163.2938
0.3030	0.3030	177.5130
0.3030	0.4242	175.4350
0.3030	0.5455	157.9335
0.4242	0.0606	136.6785
0.4242	0.1818	161.2157
0.4242	0.3030	175.4350
0.4242	0.4242	173.3570
0.4242	0.5455	155.8555
0.5455	0.0606	119.1770
0.5455	0.1818	143.7143
0.5455	0.3030	157.9335
0.5455	0.4242	155.8555
0.5455	0.5455	138.3540
