X	Y	LAB E 225
0.0202	0.0202	100.0000
0.0202	0.0606	107.5027
0.0202	0.1010	114.7391
0.0202	0.1414	121.4523
0.0202	0.1818	127.4040
0.0202	0.2222	132.3830
0.0202	0.2626	136.2124
0.0202	0.3030	138.7565
0.0202	0.3434	139.9248
0.0202	0.3838	139.6760
0.0202	0.4242	138.0188
0.0202	0.4646	135.0120
0.0202	0.5051	130.7624
0.0202	0.5455	125.4209
0.0202	0.5859	119.1770
0.0606	0.0202	107.5027
0.0606	0.0606	115.0054
0.0606	0.1010	122.2418
0.0606	0.1414	128.9550
0.0606	0.1818	134.9067
0.0606	0.2222	139.8857
0.0606	0.2626	143.7151
0.0606	0.3030	146.2592
0.0606	0.3434	147.4275
0.0606	0.3838	147.1787
0.0606	0.4242	145.5215
0.0606	0.4646	142.5147
0.0606	0.5051	138.2651
0.0606	0.5455	132.9236
0.0606	0.5859	126.6797
0.1010	0.0202	114.7391
0.1010	0.0606	122.2418
0.1010	0.1010	129.4782
0.1010	0.1414	136.1914
0.1010	0.1818	142.1431
0.1010	0.2222	147.1220
0.1010	0.2626	150.9515
0.1010	0.3030	153.4956
0.1010	0.3434	154.6639
0.1010	0.3838	154.4151
0.1010	0.4242	152.7578
0.1010	0.4646	149.7511
0.1010	0.5051	145.5015
0.1010	0.5455	140.1600
0.1010	0.5859	133.9161
0.1414	0.0202	121.4523
0.1414	0.0606	128.9550
0.1414	0.1010	136.1914
0.1414	0.1414	142.9046
0.1414	0.1818	148.8563
0.1414	0.2222	153.8352
0.1414	0.2626	157.6647
0.1414	0.3030	160.2088
0.1414	0.3434	161.3771
0.1414	0.3838	161.1283
0.1414	0.4242	159.4710
0.1414	0.4646	156.4643
0.1414	0.5051	152.2147
0.1414	0.5455	146.8732
0.1414	0.5859	140.6293
0.1818	0.0202	127.4040
0.1818	0.0606	134.9067
0.1818	0.1010	142.1431
0.1818	0.1414	148.8563
0.1818	0.1818	154.8080
0.1818	0.2222	159.7870
0.1818	0.2626	163.6164
0.1818	0.3030	166.1605
0.1818	0.3434	167.3288
0.1818	0.3838	167.0800
0.1818	0.4242	165.4227
0.1818	0.4646	162.4160
0.1818	0.5051	158.1664
0.1818	0.5455	152.8249
0.1818	0.5859	146.5810
0.2222	0.0202	132.3830
0.2222	0.0606	139.8857
0.2222	0.1010	147.1220
0.2222	0.1414	153.8352
0.2222	0.1818	159.7870
0.2222	0.2222	164.7659
0.2222	0.2626	168.5954
