X	Y	Z	Vx	Vy	Vz
0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2.0202E-02	0.0000E+00	0.0000E+00	-1.6376E-13	0.0000E+00	0.0000E+00
4.0404E-02	0.0000E+00	0.0000E+00	-3.2345E-13	0.0000E+00	0.0000E+00
6.0606E-02	0.0000E+00	0.0000E+00	-4.7506E-13	0.0000E+00	0.0000E+00
8.0808E-02	0.0000E+00	0.0000E+00	-6.1546E-13	0.0000E+00	0.0000E+00
1.0101E-01	0.0000E+00	0.0000E+00	-7.4162E-13	0.0000E+00	0.0000E+00
1.2121E-01	0.0000E+00	0.0000E+00	-8.5155E-13	0.0000E+00	0.0000E+00
1.4141E-01	0.0000E+00	0.0000E+00	-9.4339E-13	0.0000E+00	0.0000E+00
1.6162E-01	0.0000E+00	0.0000E+00	-1.0163E-12	0.0000E+00	0.0000E+00
1.8182E-01	0.0000E+00	0.0000E+00	-1.0695E-12	0.0000E+00	0.0000E+00
2.0202E-01	0.0000E+00	0.0000E+00	-1.1033E-12	0.0000E+00	0.0000E+00
2.2222E-01	0.0000E+00	0.0000E+00	-1.1179E-12	0.0000E+00	0.0000E+00
2.4242E-01	0.0000E+00	0.0000E+00	-1.1145E-12	0.0000E+00	0.0000E+00
2.6263E-01	0.0000E+00	0.0000E+00	-1.0943E-12	0.0000E+00	0.0000E+00
2.8283E-01	0.0000E+00	0.0000E+00	-1.0590E-12	0.0000E+00	0.0000E+00
3.0303E-01	0.0000E+00	0.0000E+00	-1.0104E-12	0.0000E+00	0.0000E+00
3.2323E-01	0.0000E+00	0.0000E+00	-9.5063E-13	0.0000E+00	0.0000E+00
3.4343E-01	0.0000E+00	0.0000E+00	-8.8200E-13	0.0000E+00	0.0000E+00
3.6364E-01	0.0000E+00	0.0000E+00	-8.0674E-13	0.0000E+00	0.0000E+00
3.8384E-01	0.0000E+00	0.0000E+00	-7.2715E-13	0.0000E+00	0.0000E+00
4.0404E-01	0.0000E+00	0.0000E+00	-6.4537E-13	0.0000E+00	0.0000E+00
4.2424E-01	0.0000E+00	0.0000E+00	-5.6347E-13	0.0000E+00	0.0000E+00
4.4444E-01	0.0000E+00	0.0000E+00	-4.8322E-13	0.0000E+00	0.0000E+00
4.6465E-01	0.0000E+00	0.0000E+00	-4.0617E-13	0.0000E+00	0.0000E+00
4.8485E-01	0.0000E+00	0.0000E+00	-3.3345E-13	0.0000E+00	0.0000E+00
5.0505E-01	0.0000E+00	0.0000E+00	-2.6590E-13	0.0000E+00	0.0000E+00
5.2525E-01	0.0000E+00	0.0000E+00	-2.0380E-13	0.0000E+00	0.0000E+00
5.4545E-01	0.0000E+00	0.0000E+00	-1.4706E-13	0.0000E+00	0.0000E+00
5.6566E-01	0.0000E+00	0.0000E+00	-9.5029E-14	0.0000E+00	0.0000E+00
5.8586E-01	0.0000E+00	0.0000E+00	-4.6553E-14	0.0000E+00	0.0000E+00
6.0606E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
0.0000E+00	2.0202E-02	0.0000E+00	0.0000E+00	-1.6376E-13	0.0000E+00
