X	Y	Z	Vx	Vy	Vz
0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2.0202E-02	0.0000E+00	0.0000E+00	-1.7601E-13	0.0000E+00	0.0000E+00
4.0404E-02	0.0000E+00	0.0000E+00	-3.4820E-13	0.0000E+00	0.0000E+00
6.0606E-02	0.0000E+00	0.0000E+00	-5.1274E-13	0.0000E+00	0.0000E+00
8.0808E-02	0.0000E+00	0.0000E+00	-6.6597E-13	0.0000E+00	0.0000E+00
1.0101E-01	0.0000E+00	0.0000E+00	-8.0426E-13	0.0000E+00	0.0000E+00
1.2121E-01	0.0000E+00	0.0000E+00	-9.2444E-13	0.0000E+00	0.0000E+00
1.4141E-01	0.0000E+00	0.0000E+00	-1.0237E-12	0.0000E+00	0.0000E+00
1.6162E-01	0.0000E+00	0.0000E+00	-1.1016E-12	0.0000E+00	0.0000E+00
1.8182E-01	0.0000E+00	0.0000E+00	-1.1579E-12	0.0000E+00	0.0000E+00
2.0202E-01	0.0000E+00	0.0000E+00	-1.1931E-12	0.0000E+00	0.0000E+00
2.2222E-01	0.0000E+00	0.0000E+00	-1.2071E-12	0.0000E+00	0.0000E+00
2.4242E-01	0.0000E+00	0.0000E+00	-1.2007E-12	0.0000E+00	0.0000E+00
2.6263E-01	0.0000E+00	0.0000E+00	-1.1749E-12	0.0000E+00	0.0000E+00
2.8283E-01	0.0000E+00	0.0000E+00	-1.1320E-12	0.0000E+00	0.0000E+00
3.0303E-01	0.0000E+00	0.0000E+00	-1.0746E-12	0.0000E+00	0.0000E+00
3.2323E-01	0.0000E+00	0.0000E+00	-1.0054E-12	0.0000E+00	0.0000E+00
3.4343E-01	0.0000E+00	0.0000E+00	-9.2728E-13	0.0000E+00	0.0000E+00
3.6364E-01	0.0000E+00	0.0000E+00	-8.4277E-13	0.0000E+00	0.0000E+00
3.8384E-01	0.0000E+00	0.0000E+00	-7.5447E-13	0.0000E+00	0.0000E+00
4.0404E-01	0.0000E+00	0.0000E+00	-6.6465E-13	0.0000E+00	0.0000E+00
4.2424E-01	0.0000E+00	0.0000E+00	-5.7551E-13	0.0000E+00	0.0000E+00
4.4444E-01	0.0000E+00	0.0000E+00	-4.8893E-13	0.0000E+00	0.0000E+00
4.6465E-01	0.0000E+00	0.0000E+00	-4.0705E-13	0.0000E+00	0.0000E+00
4.8485E-01	0.0000E+00	0.0000E+00	-3.3153E-13	0.0000E+00	0.0000E+00
